Kraj;Poradi;Kandidat;Jmeno1;Jmeno2;Titul1;Titul2;Titul3;Titul4;Titul5;Vek;Strana;Clen
Moravskoslezskı;29;elinskı Petr Ing.;elinskı;Petr;Ing.;;;;;54;ANO 2011;ANO 2011
Jihomoravskı;28;enoièka Petr Bc.;enoièka;Petr;Bc.;;;;;33;ANO 2011;ANO 2011
Jihomoravskı;1;Adam Vojtìch MUDr.;Adam;Vojtìch;MUDr.;;;;;62;KSÈM;BEZPP
Hl. m. Praha;11;Ambro Pavel;Ambro;Pavel;;;;;;55;KSÈM;KSÈM
Olomouckı;3;Augustin Josef JUDr.;Augustin;Josef;JUDr.;;;;;58;KSÈM;KSÈM
Ústeckı;2;Aulická Jírovcová Hana Ing.;Aulická;Jírovcová Hana;Ing.;;;;;32;KSÈM;KSÈM
Moravskoslezskı;6;Babicová Irena;Babicová;Irena;;;;;;50;KSÈM;BEZPP
Jihoèeskı;18;Baborová Vítìzslava Mgr.;Baborová;Vítìzslava;Mgr.;;;;;59;KSÈM;KSÈM
Moravskoslezskı;17;Baègoò Pavel;Baègoò;Pavel;;;;;;59;KSÈM;KSÈM
Jihomoravskı;34;Balík Pavel;Balík;Pavel;;;;;;35;KSÈM;KSÈM
Královéhradeckı;4;Baudyš Jiøí Ing.;Baudyš;Jiøí;Ing.;;;;;38;KSÈM;BEZPP
Zlínskı;20;Bazalková Dáša;Bazalková;Dáša;;;;;;66;KSÈM;KSÈM
Jihomoravskı;5;Bebarová Rujbrová Zuzka JUDr.;Bebarová;Rujbrová Zuzka;JUDr.;;;;;62;KSÈM;KSÈM
Olomouckı;15;Behro Miroslav;Behro;Miroslav;;;;;;35;KSÈM;KSÈM
Vysoèina;14;Bencová Jana;Bencová;Jana;;;;;;22;KSÈM;KSÈM
Hl. m. Praha;18;Beneš František Ing. CSc.;Beneš;František;Ing.;CSc.;;;;69;KSÈM;KSÈM
Plzeòskı;7;Beneš Jan;Beneš;Jan;;;;;;28;KSÈM;KSÈM
Ústeckı;8;Beneš Václav;Beneš;Václav;;;;;;60;KSÈM;KSÈM
Olomouckı;17;Beòo Jakub Bc.;Beòo;Jakub;Bc.;;;;;28;KSÈM;BEZPP
Královéhradeckı;7;Bezdìk Ondøej Mgr.;Bezdìk;Ondøej;Mgr.;;;;;27;KSÈM;BEZPP
Moravskoslezskı;11;Blahuta Jiøí;Blahuta;Jiøí;;;;;;48;KSÈM;KSÈM
Zlínskı;8;Blaek Antonín JUDr.;Blaek;Antonín;JUDr.;;;;;34;KSÈM;BEZPP
Jihomoravskı;32;Boháèek Rostislav;Boháèek;Rostislav;;;;;;42;KSÈM;KSÈM
Pardubickı;7;Bohatec Josef;Bohatec;Josef;;;;;;39;KSÈM;KSÈM
Olomouckı;8;Böhmová Zuzana;Böhmová;Zuzana;;;;;;37;KSÈM;KSÈM
Jihomoravskı;20;Bönischová Táòa;Bönischová;Táòa;;;;;;28;KSÈM;KSÈM
Karlovarskı;2;Borka Jaroslav Mgr.;Borka;Jaroslav;Mgr.;;;;;61;KSÈM;KSÈM
Jihomoravskı;30;Bouda Josef DiS.;Bouda;Josef;DiS.;;;;;27;KSÈM;KSÈM
Jihoèeskı;2;Branı Petr RSDr.;Branı;Petr;RSDr.;;;;;62;KSÈM;KSÈM
Hl. m. Praha;16;Briardová Helena PhDr.;Briardová;Helena;PhDr.;;;;;66;KSÈM;KSÈM
Jihoèeskı;19;Bulantová Radka;Bulantová;Radka;;;;;;34;KSÈM;KSÈM
Ústeckı;24;Buldra Miloslav;Buldra;Miloslav;;;;;;55;KSÈM;KSÈM
Ústeckı;19;Cingel Jaroslav;Cingel;Jaroslav;;;;;;61;KSÈM;KSÈM
Støedoèeskı;5;Cinka Ivan Mgr.;Cinka;Ivan;Mgr.;;;;;56;KSÈM;KSÈM
Plzeòskı;9;Cízlová Andrea;Cízlová;Andrea;;;;;;36;KSÈM;KSÈM
Královéhradeckı;10;Coufalová Hana;Coufalová;Hana;;;;;;37;KSÈM;KSÈM
Ústeckı;20;Èapková Pavla;Èapková;Pavla;;;;;;38;KSÈM;KSÈM
Moravskoslezskı;21;Èech Jaroslav;Èech;Jaroslav;;;;;;56;KSÈM;KSÈM
Støedoèeskı;16;Èechová Humpolcová Tereza Mgr.;Èechová;Humpolcová Tereza;Mgr.;;;;;26;KSÈM;KSÈM
Zlínskı;14;Èejka Josef JUDr.;Èejka;Josef;JUDr.;;;;;64;KSÈM;KSÈM
Karlovarskı;11;Èepièková Jana;Èepièková;Jana;;;;;;60;KSÈM;KSÈM
Olomouckı;1;Èernı Alexander RSDr.;Èernı;Alexander;RSDr.;;;;;60;KSÈM;KSÈM
Jihoèeskı;7;Èeška Stanislav;Èeška;Stanislav;;;;;;47;KSÈM;BEZPP
Moravskoslezskı;3;Èíp René Ing.;Èíp;René;Ing.;;;;;38;KSÈM;KSÈM
Libereckı;5;Èíek Lukáš;Èíek;Lukáš;;;;;;34;KSÈM;KSÈM
Hl. m. Praha;19;Èunátová Jana Ing.;Èunátová;Jana;Ing.;;;;;68;KSÈM;KSÈM
Støedoèeskı;11;Demko Dušan;Demko;Dušan;;;;;;57;KSÈM;KSÈM
Moravskoslezskı;31;Dener Tomáš Ing.;Dener;Tomáš;Ing.;;;;;62;KSÈM;KSÈM
Ústeckı;22;Dlouhı Jindøich;Dlouhı;Jindøich;;;;;;64;KSÈM;KSÈM
Hl. m. Praha;2;Dolejš Jiøí Ing.;Dolejš;Jiøí;Ing.;;;;;52;KSÈM;KSÈM
Pardubickı;10;Dosoudil Vladimír Ing.;Dosoudil;Vladimír;Ing.;;;;;56;KSÈM;KSÈM
Olomouckı;18;Doubrava Josef;Doubrava;Josef;;;;;;59;KSÈM;KSÈM
Jihoèeskı;12;Doucha Jaroslav;Doucha;Jaroslav;;;;;;42;KSÈM;BEZPP
Královéhradeckı;16;Dušek Josef;Dušek;Josef;;;;;;42;KSÈM;BEZPP
Jihoèeskı;4;Dvoøák Luboš JUDr.;Dvoøák;Luboš;JUDr.;;;;;56;KSÈM;KSÈM
Ústeckı;25;Dycka Václav Mgr.;Dycka;Václav;Mgr.;;;;;29;KSÈM;BEZPP
Hl. m. Praha;22;Exnerová Suzana;Exnerová;Suzana;;;;;;69;KSÈM;BEZPP
Støedoèeskı;34;Fakenberg Richard;Fakenberg;Richard;;;;;;30;KSÈM;KSÈM
Jihomoravskı;25;Farskı Vladimír;Farskı;Vladimír;;;;;;55;KSÈM;BEZPP
Jihomoravskı;29;Fazor Jiøí;Fazor;Jiøí;;;;;;43;KSÈM;KSÈM
Královéhradeckı;8;Fialová Lenka DiS.;Fialová;Lenka;DiS.;;;;;46;KSÈM;BEZPP
Støedoèeskı;24;Fidler Rudolf;Fidler;Rudolf;;;;;;39;KSÈM;KSÈM
Jihoèeskı;1;Filip Vojtìch JUDr.;Filip;Vojtìch;JUDr.;;;;;58;KSÈM;KSÈM
Pardubickı;5;Fišer Jaroslav RSDr.;Fišer;Jaroslav;RSDr.;;;;;61;KSÈM;KSÈM
Jihomoravskı;28;Florus Martin;Florus;Martin;;;;;;62;KSÈM;KSÈM
Pardubickı;6;Foldyna Jan Ing.;Foldyna;Jan;Ing.;;;;;57;KSÈM;KSÈM
Hl. m. Praha;9;Fraòková Marcela;Fraòková;Marcela;;;;;;51;KSÈM;KSÈM
Støedoèeskı;17;Franta Bohumil;Franta;Bohumil;;;;;;48;KSÈM;KSÈM
Pardubickı;15;Fülle Radim;Fülle;Radim;;;;;;38;KSÈM;KSÈM
Moravskoslezskı;32;Gallik Tomaš;Gallik;Tomaš;;;;;;51;KSÈM;KSÈM
Libereckı;10;Ginzelová Bohumila Ing.;Ginzelová;Bohumila;Ing.;;;;;62;KSÈM;KSÈM
Hl. m. Praha;10;Gottwald Josef;Gottwald;Josef;;;;;;42;KSÈM;KSÈM
Jihomoravskı;2;Grebeníèek Miroslav Doc. PhDr. CSc.;Grebeníèek;Miroslav;doc.;PhDr.;CSc.;;;66;KSÈM;KSÈM
Ústeckı;11;Grochalová Soòa;Grochalová;Soòa;;;;;;53;KSÈM;KSÈM
Moravskoslezskı;15;Grosová Alena Mgr.;Grosová;Alena;Mgr.;;;;;49;KSÈM;KSÈM
Støedoèeskı;1;Grospiè Stanislav JUDr.;Grospiè;Stanislav;JUDr.;;;;;49;KSÈM;KSÈM
Hl. m. Praha;3;Gušlbauerová Dagmar;Gušlbauerová;Dagmar;;;;;;60;KSÈM;KSÈM
Moravskoslezskı;10;Hajdušík Miroslav Ing.;Hajdušík;Miroslav;Ing.;;;;;29;KSÈM;KSÈM
Pardubickı;13;Hájek Jaroslav;Hájek;Jaroslav;;;;;;44;KSÈM;KSÈM
Plzeòskı;19;Hajšman Milan;Hajšman;Milan;;;;;;35;KSÈM;KSÈM
Støedoèeskı;13;Hála Josef RSDr.;Hála;Josef;RSDr.;;;;;60;KSÈM;KSÈM
Moravskoslezskı;2;Halíková Milada PaedDr.;Halíková;Milada;PaedDr.;;;;;63;KSÈM;BEZPP
Jihomoravskı;22;Haller Ladislav;Haller;Ladislav;;;;;;42;KSÈM;BEZPP
Jihomoravskı;11;Hamala Milan;Hamala;Milan;;;;;;60;KSÈM;KSÈM
Moravskoslezskı;8;Hanusová Jitka Ing.;Hanusová;Jitka;Ing.;;;;;42;KSÈM;BEZPP
Karlovarskı;13;Hanzalius Petr;Hanzalius;Petr;;;;;;31;KSÈM;KSÈM
Ústeckı;23;Havel Jiøí;Havel;Jiøí;;;;;;37;KSÈM;BEZPP
Libereckı;4;Havelka Jaroslav Mgr.;Havelka;Jaroslav;Mgr.;;;;;62;KSÈM;KSÈM
Støedoèeskı;25;Havlíèek Milan RSDr.;Havlíèek;Milan;RSDr.;;;;;65;KSÈM;KSÈM
Moravskoslezskı;16;Havlíèková Monika Bc.;Havlíèková;Monika;Bc.;;;;;45;KSÈM;KSÈM
Plzeòskı;17;Havlíková Jitka;Havlíková;Jitka;;;;;;55;KSÈM;KSÈM
Moravskoslezskı;9;Havránek Petr Ing. Bc.;Havránek;Petr;Ing.;Bc.;;;;35;KSÈM;BEZPP
Olomouckı;4;Heblák Petr Bc.;Heblák;Petr;Bc.;;;;;46;KSÈM;KSÈM
Moravskoslezskı;22;Heczko Eduard Ing.;Heczko;Eduard;Ing.;;;;;65;KSÈM;KSÈM
Støedoèeskı;7;Hejduk Stanislav;Hejduk;Stanislav;;;;;;57;KSÈM;KSÈM
Plzeòskı;6;Hejlová Jitka;Hejlová;Jitka;;;;;;50;KSÈM;KSÈM
Jihomoravskı;10;Herman Pavel;Herman;Pavel;;;;;;27;KSÈM;KSÈM
Královéhradeckı;17;Hladík Zdenìk;Hladík;Zdenìk;;;;;;58;KSÈM;KSÈM
Plzeòskı;13;Hlásek František;Hlásek;František;;;;;;54;KSÈM;KSÈM
Støedoèeskı;26;Hlinka Václav Ing.;Hlinka;Václav;Ing.;;;;;55;KSÈM;BEZPP
Vysoèina;5;Hodáè Pavel;Hodáè;Pavel;;;;;;44;KSÈM;KSÈM
Ústeckı;12;Hodboïová ¼udmila Mgr.;Hodboïová;¼udmila;Mgr.;;;;;49;KSÈM;KSÈM
Hl. m. Praha;15;Hoffman František JUDr.;Hoffman;František;JUDr.;;;;;62;KSÈM;KSÈM
Støedoèeskı;21;Hofmann Ondøej;Hofmann;Ondøej;;;;;;28;KSÈM;KSÈM
Karlovarskı;1;Hojda Pavel Ing.;Hojda;Pavel;Ing.;;;;;60;KSÈM;KSÈM
Karlovarskı;10;Honcù Radomír;Honcù;Radomír;;;;;;47;KSÈM;KSÈM
Hl. m. Praha;8;Horák Jiøí PhDr. CSc.;Horák;Jiøí;PhDr.;CSc.;;;;60;KSÈM;KSÈM
Olomouckı;7;Horák Pavel;Horák;Pavel;;;;;;58;KSÈM;KSÈM
Hl. m. Praha;32;Hošek Karel RSDr.;Hošek;Karel;RSDr.;;;;;68;KSÈM;KSÈM
Jihomoravskı;26;Hráèek Jiøí;Hráèek;Jiøí;;;;;;27;KSÈM;KSÈM
Vysoèina;10;Hrdlièka Jindøich;Hrdlièka;Jindøich;;;;;;50;KSÈM;KSÈM
Hl. m. Praha;36;Hronová Alena Mgr.;Hronová;Alena;Mgr.;;;;;62;KSÈM;KSÈM
Jihomoravskı;16;Hrozková Jaroslava Ing.;Hrozková;Jaroslava;Ing.;;;;;59;KSÈM;KSÈM
Hl. m. Praha;6;Hrùza Ivan JUDr.;Hrùza;Ivan;JUDr.;;;;;59;KSÈM;KSÈM
Ústeckı;1;Hubáèková Gabriela;Hubáèková;Gabriela;;;;;;38;KSÈM;KSÈM
Støedoèeskı;12;Hubenı Pavel;Hubenı;Pavel;;;;;;59;KSÈM;KSÈM
Hl. m. Praha;20;Hudeèek Jiøí prof. RNDr. CSc.;Hudeèek;Jiøí;prof.;RNDr.;CSc.;;;59;KSÈM;SDS
Moravskoslezskı;14;Hyvnar Radim Ing.;Hyvnar;Radim;Ing.;;;;;36;KSÈM;BEZPP
Hl. m. Praha;24;Chaloupka Vladimír;Chaloupka;Vladimír;;;;;;55;KSÈM;KSÈM
Zlínskı;10;Chocholatá Anna;Chocholatá;Anna;;;;;;45;KSÈM;KSÈM
Libereckı;8;Chot František;Chot;František;;;;;;52;KSÈM;KSÈM
Zlínskı;7;Jablunka Jiøí Ing.;Jablunka;Jiøí;Ing.;;;;;49;KSÈM;BEZPP
Karlovarskı;8;Jakubík Václav Ing.;Jakubík;Václav;Ing.;;;;;64;KSÈM;KSÈM
Moravskoslezskı;7;Janèík Petr Mgr. Bc.;Janèík;Petr;Mgr.;Bc.;;;;36;KSÈM;KSÈM
Královéhradeckı;3;Janeèek Pavel Ing.;Janeèek;Pavel;Ing.;;;;;30;KSÈM;KSÈM
Hl. m. Praha;31;Janouch Roman Mgr.;Janouch;Roman;Mgr.;;;;;40;KSÈM;KSÈM
Karlovarskı;12;Janurová Dana;Janurová;Dana;;;;;;59;KSÈM;KSÈM
Plzeòskı;14;Jaroš Radek Bc.;Jaroš;Radek;Bc.;;;;;38;KSÈM;KSÈM
Støedoèeskı;15;Jíchová Lenka;Jíchová;Lenka;;;;;;27;KSÈM;KSÈM
Pardubickı;14;Jiruše Jiøí Bc.;Jiruše;Jiøí;Bc.;;;;;43;KSÈM;KSÈM
Jihomoravskı;27;Jordánek Martin;Jordánek;Martin;;;;;;28;KSÈM;KSÈM
Karlovarskı;6;Jurèák František;Jurèák;František;;;;;;65;KSÈM;KSÈM
Zlínskı;15;Juøena Ivan;Juøena;Ivan;;;;;;41;KSÈM;BEZPP
Moravskoslezskı;33;Kamená Justina Ing.;Kamená;Justina;Ing.;;;;;58;KSÈM;KSÈM
Pardubickı;19;Karlíèek Miroslav;Karlíèek;Miroslav;;;;;;40;KSÈM;KSÈM
Zlínskı;18;Kašpar František;Kašpar;František;;;;;;56;KSÈM;KSÈM
Støedoèeskı;18;Kazík Ondøej Mgr.;Kazík;Ondøej;Mgr.;;;;;28;KSÈM;KSÈM
Støedoèeskı;3;Klán Jan Bc.;Klán;Jan;Bc.;;;;;30;KSÈM;KSÈM
Jihoèeskı;5;Klapsia Vilém;Klapsia;Vilém;;;;;;36;KSÈM;KSÈM
Libereckı;15;Klikarová Kateøina;Klikarová;Kateøina;;;;;;29;KSÈM;KSÈM
Jihoèeskı;14;Klouda Vladimír Ing.;Klouda;Vladimír;Ing.;;;;;62;KSÈM;KSÈM
Pardubickı;18;Kmošáková Valéria;Kmošáková;Valéria;;;;;;51;KSÈM;KSÈM
Ústeckı;5;Kohout Jaroslav Bc.;Kohout;Jaroslav;Bc.;;;;;42;KSÈM;KSÈM
Hl. m. Praha;35;Kokoška Petr JUDr.;Kokoška;Petr;JUDr.;;;;;58;KSÈM;BEZPP
Moravskoslezskı;12;Koòaøík Bronislav Mgr.;Koòaøík;Bronislav;Mgr.;;;;;38;KSÈM;BEZPP
Moravskoslezskı;4;Koneèná Kateøina Ing.;Koneèná;Kateøina;Ing.;;;;;32;KSÈM;KSÈM
Zlínskı;1;Koníèek Vladimír RNDr.;Koníèek;Vladimír;RNDr.;;;;;49;KSÈM;KSÈM
Støedoèeskı;22;Kopecká Dana;Kopecká;Dana;;;;;;28;KSÈM;BEZPP
Libereckı;7;Košáková Alena;Košáková;Alena;;;;;;59;KSÈM;KSÈM
Jihomoravskı;17;Košulièová Marie;Košulièová;Marie;;;;;;54;KSÈM;KSÈM
Moravskoslezskı;26;Kotala Jan;Kotala;Jan;;;;;;32;KSÈM;KSÈM
Hl. m. Praha;23;Kotek Tomáš;Kotek;Tomáš;;;;;;40;KSÈM;KSÈM
Jihomoravskı;23;Koudelka Zdenìk Ing. arch.;Koudelka;Zdenìk;Ing.arch.;;;;;57;KSÈM;KSÈM
Vysoèina;1;Kováèik Pavel Ing.;Kováèik;Pavel;Ing.;;;;;58;KSÈM;KSÈM
Zlínskı;22;Kovaøík Jaroslav;Kovaøík;Jaroslav;;;;;;65;KSÈM;KSÈM
Jihoèeskı;13;Kozáková Jana;Kozáková;Jana;;;;;;59;KSÈM;KSÈM
Zlínskı;4;Krahula Even Mgr.;Krahula;Even;Mgr.;;;;;56;KSÈM;KSÈM
Hl. m. Praha;4;Krajèa Milan;Krajèa;Milan;;;;;;30;KSÈM;KSÈM
Støedoèeskı;27;Krajdl Martin;Krajdl;Martin;;;;;;33;KSÈM;KSÈM
Vysoèina;9;Královec Pavel Ing.;Královec;Pavel;Ing.;;;;;49;KSÈM;BEZPP
Ústeckı;3;Krèmárik Karel JUDr.;Krèmárik;Karel;JUDr.;;;;;65;KSÈM;KSÈM
Zlínskı;19;Kroèa Pavel Ing.;Kroèa;Pavel;Ing.;;;;;54;KSÈM;KSÈM
Plzeòskı;16;Køenek Vìstislav Ing.;Køenek;Vìstislav;Ing.;;;;;62;KSÈM;KSÈM
Moravskoslezskı;25;Køenková Kateøina MVDr.;Køenková;Kateøina;MVDr.;;;;;51;KSÈM;KSÈM
Jihomoravskı;3;Køivánková Vìra Mgr.;Køivánková;Vìra;Mgr.;;;;;50;KSÈM;KSÈM
Støedoèeskı;10;Kubelková Šárka Bc. Ing.;Kubelková;Šárka;Bc.;Ing.;;;;39;KSÈM;BEZPP
Pardubickı;3;Kubù Pavel Ing.;Kubù;Pavel;Ing.;;;;;59;KSÈM;KSÈM
Støedoèeskı;9;Kudrna Luboš MVDr.;Kudrna;Luboš;MVDr.;;;;;52;KSÈM;KSÈM
Karlovarskı;14;Kumberová Jana DiS.;Kumberová;Jana;DiS.;;;;;31;KSÈM;BEZPP
Moravskoslezskı;27;Kupka Vlastimil Bc.;Kupka;Vlastimil;Bc.;;;;;55;KSÈM;KSÈM
Støedoèeskı;28;Kváè David Ing.;Kváè;David;Ing.;;;;;32;KSÈM;KSÈM
Hl. m. Praha;30;Kvapil Jaroslav Bc. DiS.;Kvapil;Jaroslav;Bc.;DiS.;;;;35;KSÈM;KSÈM
Støedoèeskı;29;Kvíz Petr;Kvíz;Petr;;;;;;31;KSÈM;KSÈM
Hl. m. Praha;27;Kyselı Vít Ing.;Kyselı;Vít;Ing.;;;;;50;KSÈM;BEZPP
Jihomoravskı;12;Lahvièka Ján;Lahvièka;Ján;;;;;;31;KSÈM;KSÈM
Zlínskı;17;Lapèík Vítìzslav Ing.;Lapèík;Vítìzslav;Ing.;;;;;48;KSÈM;KSÈM
Hl. m. Praha;7;Ledl Lubomír JUDr.;Ledl;Lubomír;JUDr.;;;;;61;KSÈM;SDS
Ústeckı;18;Lhoták Vlastimil;Lhoták;Vlastimil;;;;;;65;KSÈM;KSÈM
Jihoèeskı;15;Lianová Petra Mgr.;Lianová;Petra;Mgr.;;;;;35;KSÈM;BEZPP
Hl. m. Praha;33;Lojda František;Lojda;František;;;;;;59;KSÈM;KSÈM
Zlínskı;5;Lovecká Vìra Mgr.;Lovecká;Vìra;Mgr.;;;;;50;KSÈM;BEZPP
Královéhradeckı;9;Lukášek Josef PaedDr.;Lukášek;Josef;PaedDr.;;;;;61;KSÈM;KSÈM
Vysoèina;12;Lukášová Irena;Lukášová;Irena;;;;;;43;KSÈM;KSÈM
Moravskoslezskı;5;Luzar Leo Ing.;Luzar;Leo;Ing.;;;;;48;KSÈM;KSÈM
Hl. m. Praha;12;Macek Milan RNDr. CSc.;Macek;Milan;RNDr.;CSc.;;;;56;KSÈM;KSÈM
Jihomoravskı;7;Macek Pavel Mgr.;Macek;Pavel;Mgr.;;;;;45;KSÈM;KSÈM
Libereckı;1;Mackovík Stanislav Bc.;Mackovík;Stanislav;Bc.;;;;;46;KSÈM;KSÈM
Ústeckı;17;Mádlová Alena;Mádlová;Alena;;;;;;55;KSÈM;KSÈM
Libereckı;13;Malec Jan Ing.;Malec;Jan;Ing.;;;;;43;KSÈM;BEZPP
Moravskoslezskı;28;Ma³ysz Henryk;Ma³ysz;Henryk;;;;;;36;KSÈM;KSÈM
Olomouckı;19;Marek Miroslav Ing.;Marek;Miroslav;Ing.;;;;;60;KSÈM;KSÈM
Královéhradeckı;1;Marková Soòa Mgr.;Marková;Soòa;Mgr.;;;;;50;KSÈM;KSÈM
Zlínskı;12;Maøák Ivan Ing.;Maøák;Ivan;Ing.;;;;;51;KSÈM;KSÈM
Pardubickı;1;Matušovská Kvìta Ing.;Matušovská;Kvìta;Ing.;;;;;29;KSÈM;KSÈM
Olomouckı;10;Mencner František;Mencner;František;;;;;;64;KSÈM;BEZPP
Jihomoravskı;31;Michalík Igor Ing.;Michalík;Igor;Ing.;;;;;37;KSÈM;KSÈM
Moravskoslezskı;13;Michálková Ivana Mgr.;Michálková;Ivana;Mgr.;;;;;51;KSÈM;BEZPP
Støedoèeskı;6;Milata Zdenìk Mgr.;Milata;Zdenìk;Mgr.;;;;;33;KSÈM;KSÈM
Ústeckı;10;Minárik František;Minárik;František;;;;;;47;KSÈM;KSÈM
Zlínskı;3;Místeckı Vladimír;Místeckı;Vladimír;;;;;;61;KSÈM;KSÈM
Pardubickı;17;Moravcová Alice Mgr.;Moravcová;Alice;Mgr.;;;;;42;KSÈM;BEZPP
Pardubickı;12;Moravec Martin Ing. Ph.D.;Moravec;Martin;Ing.;Ph.D.;;;;39;KSÈM;BEZPP
Hl. m. Praha;21;Mouèková Miroslava PhDr.;Mouèková;Miroslava;PhDr.;;;;;59;KSÈM;KSÈM
Jihoèeskı;10;Mrázek Bohuslav;Mrázek;Bohuslav;;;;;;61;KSÈM;KSÈM
Moravskoslezskı;35;Neèas Pavel;Neèas;Pavel;;;;;;57;KSÈM;KSÈM
Libereckı;12;Nedvìdová Marie JUDr.;Nedvìdová;Marie;JUDr.;;;;;57;KSÈM;KSÈM
Jihoèeskı;9;Nejezchleb Radek;Nejezchleb;Radek;;;;;;39;KSÈM;KSÈM
Olomouckı;2;Nekl Josef RSDr.;Nekl;Josef;RSDr.;;;;;60;KSÈM;KSÈM
Støedoèeskı;30;Nekováøová Zuzana;Nekováøová;Zuzana;;;;;;50;KSÈM;BEZPP
Pardubickı;11;Nìmec Petr Ing.;Nìmec;Petr;Ing.;;;;;38;KSÈM;BEZPP
Ústeckı;16;Nétek Josef Ing.;Nétek;Josef;Ing.;;;;;59;KSÈM;KSÈM
Hl. m. Praha;29;Neubert Milan RNDr.;Neubert;Milan;RNDr.;;;;;58;KSÈM;SDS
Vysoèina;11;Nevoral Marek;Nevoral;Marek;;;;;;37;KSÈM;KSÈM
Vysoèina;19;Nigoš Štefan Ing.;Nigoš;Štefan;Ing.;;;;;48;KSÈM;KSÈM
Jihoèeskı;3;Nohavová Alena;Nohavová;Alena;;;;;;53;KSÈM;KSÈM
Královéhradeckı;15;Novák Milan JUDr.;Novák;Milan;JUDr.;;;;;61;KSÈM;KSÈM
Libereckı;17;Nováková Tajana;Nováková;Tajana;;;;;;61;KSÈM;KSÈM
Vysoèina;20;Novotná Helena;Novotná;Helena;;;;;;32;KSÈM;KSÈM
Jihoèeskı;16;Novotná Rùena;Novotná;Rùena;;;;;;62;KSÈM;KSÈM
Královéhradeckı;2;Ondráèek Zdenìk JUDr. PhDr. Ph.D.;Ondráèek;Zdenìk;JUDr.;PhDr.;Ph.D.;;;44;KSÈM;KSÈM
Moravskoslezskı;1;Opálka Miroslav RSDr.;Opálka;Miroslav;RSDr.;;;;;60;KSÈM;KSÈM
Zlínskı;11;Opravilová Esma Ing.;Opravilová;Esma;Ing.;;;;;40;KSÈM;KSÈM
Olomouckı;23;Opršal Jaroslav;Opršal;Jaroslav;;;;;;62;KSÈM;KSÈM
Královéhradeckı;6;Ort Václav JUDr.;Ort;Václav;JUDr.;;;;;61;KSÈM;BEZPP
Vysoèina;16;Oulehla Drahoslav JUDr.;Oulehla;Drahoslav;JUDr.;;;;;61;KSÈM;KSÈM
Pardubickı;9;Ouøeckı Miloš;Ouøeckı;Miloš;;;;;;21;KSÈM;KSÈM
Moravskoslezskı;36;Paláèek Petr Ing.;Paláèek;Petr;Ing.;;;;;34;KSÈM;KSÈM
Libereckı;6;Panc Oldøich;Panc;Oldøich;;;;;;48;KSÈM;KSÈM
Olomouckı;21;Passinger Bøetislav;Passinger;Bøetislav;;;;;;61;KSÈM;KSÈM
Støedoèeskı;23;Pavlíková Kateøina;Pavlíková;Kateøina;;;;;;39;KSÈM;KSÈM
Støedoèeskı;31;Peltan Rudolf JUDr.;Peltan;Rudolf;JUDr.;;;;;70;KSÈM;KSÈM
Zlínskı;2;Pìnèíková Marie Ing.;Pìnèíková;Marie;Ing.;;;;;33;KSÈM;KSÈM
Jihomoravskı;9;Pernica Emil Bc. DiS.;Pernica;Emil;Bc.;DiS.;;;;23;KSÈM;KSÈM
Libereckı;2;Pešek František Ing.;Pešek;František;Ing.;;;;;67;KSÈM;KSÈM
Hl. m. Praha;13;Petelík Jaromír Mgr.;Petelík;Jaromír;Mgr.;;;;;30;KSÈM;KSÈM
Jihoèeskı;17;Pikous Jan Bc.;Pikous;Jan;Bc.;;;;;22;KSÈM;KSÈM
Moravskoslezskı;34;Pilch Gustav Ing.;Pilch;Gustav;Ing.;;;;;61;KSÈM;BEZPP
Královéhradeckı;20;Plachetka Zdenìk JUDr.;Plachetka;Zdenìk;JUDr.;;;;;62;KSÈM;KSÈM
Vysoèina;3;Plodík Milan;Plodík;Milan;;;;;;57;KSÈM;KSÈM
Jihomoravskı;4;Pojeznı Ivo Mgr.;Pojeznı;Ivo;Mgr.;;;;;52;KSÈM;KSÈM
Zlínskı;6;Polášek Petr Ing.;Polášek;Petr;Ing.;;;;;49;KSÈM;KSÈM
Plzeòskı;4;Porvich Lubomír Ing.;Porvich;Lubomír;Ing.;;;;;51;KSÈM;KSÈM
Støedoèeskı;8;Posolda Pavel Ing.;Posolda;Pavel;Ing.;;;;;54;KSÈM;KSÈM
Zlínskı;21;Procházka Jaroslav RSDr.;Procházka;Jaroslav;RSDr.;;;;;62;KSÈM;KSÈM
Zlínskı;9;Procházková Pavlína;Procházková;Pavlína;;;;;;36;KSÈM;BEZPP
Pardubickı;8;Pøíhoda Vladimír;Pøíhoda;Vladimír;;;;;;57;KSÈM;KSÈM
Olomouckı;16;Raindl Miroslav Mgr.;Raindl;Miroslav;Mgr.;;;;;59;KSÈM;KSÈM
Královéhradeckı;12;Rambousková Martina;Rambousková;Martina;;;;;;38;KSÈM;KSÈM
Plzeòskı;3;Ratajová Alena;Ratajová;Alena;;;;;;53;KSÈM;BEZPP
Moravskoslezskı;24;Recman Svatomír Ing. RSDr.;Recman;Svatomír;Ing.;RSDr.;;;;60;KSÈM;KSÈM
Plzeòskı;20;Rehák Jaroslav;Rehák;Jaroslav;;;;;;39;KSÈM;KSÈM
Olomouckı;22;Reichová Marcela;Reichová;Marcela;;;;;;54;KSÈM;KSÈM
Plzeòskı;11;Rejfek Jan RSDr.;Rejfek;Jan;RSDr.;;;;;60;KSÈM;KSÈM
